slug,date,open,high,low,close,currency
EUR/JPY,2017-11-28,132.320999,132.548996,131.970001,132.341995,JPY
EUR/USD,2017-11-28,1.190405,1.1921,1.186746,1.19049,USD
EUR/GBP,2017-11-28,0.89356,0.89801,0.8922,0.8935,GBP
EUR/GBP,2017-11-29,0.8865,0.88728,0.88185,0.88646,GBP
EUR/JPY,2017-11-29,132.248001,132.731003,132.0,132.274002,JPY
EUR/USD,2017-11-29,1.184974,1.188495,1.182005,1.184806,USD
EUR/JPY,2017-11-30,132.744995,133.690002,132.667999,132.733994,JPY
EUR/USD,2017-11-30,1.185003,1.192976,1.181502,1.185199,USD
EUR/GBP,2017-11-30,0.88331,0.8839,0.87769,0.8833,GBP
EUR/USD,2017-12-01,1.18991,1.193987,1.185213,1.189825,USD
EUR/JPY,2017-12-01,133.923004,134.343002,132.973007,133.917007,JPY
EUR/GBP,2017-12-01,0.87929,0.88405,0.87885,0.87935,GBP
EUR/USD,2017-12-04,1.185705,1.187874,1.183124,1.185986,USD
EUR/GBP,2017-12-04,0.87883,0.88315,0.87558,0.87882,GBP
EUR/JPY,2017-12-04,133.783997,134.033005,133.507996,133.843002,JPY
EUR/GBP,2017-12-05,0.88086,0.88633,0.87794,0.88076,GBP
EUR/USD,2017-12-05,1.186859,1.187931,1.180889,1.186775,USD
EUR/JPY,2017-12-05,133.524002,133.738007,133.209,133.505997,JPY
EUR/JPY,2017-12-06,133.052002,133.056,132.253998,133.054993,JPY
EUR/USD,2017-12-06,1.183054,1.184834,1.178134,1.183292,USD
EUR/GBP,2017-12-06,0.882,0.8852,0.8801,0.88188,GBP
EUR/JPY,2017-12-07,132.585007,132.947006,132.570007,132.546997,JPY
EUR/GBP,2017-12-07,0.8815,0.8848,0.87782,0.8814,GBP
EUR/USD,2017-12-07,1.180498,1.180916,1.177718,1.180429,USD
EUR/JPY,2017-12-08,133.253006,133.595001,133.113007,133.229996,JPY
EUR/GBP,2017-12-08,0.8729,0.8805,0.86911,0.87309,GBP
EUR/USD,2017-12-08,1.17744,1.177718,1.173186,1.177218,USD
EUR/USD,2017-12-11,1.176928,1.181042,1.176886,1.176997,USD
EUR/GBP,2017-12-11,0.8788,0.8838,0.87756,0.8786,GBP
